model,Q50,Q5.5,Q94.5,Q2.5,Q97.5,performance,data,outcome
model2,0.1875,0.0625,0.375,0,0.4375,specificity,training,HIV/S
model3,0.1875,0.0625,0.375,0.0609375,0.4375,specificity,training,HIV/S
model4,0.1875,0.0625,0.4375,0.0625,0.4375,specificity,training,HIV/S
model5,0.1875,0.0625,0.4375,0,0.4375,specificity,training,HIV/S
model6,0.1875,0.0625,0.4375,0,0.4375,specificity,training,HIV/S
model7,0.1875,0.0625,0.375,0,0.4375,specificity,training,HIV/S
model8,0.1875,0.0625,0.4375,0,0.4375,specificity,training,HIV/S
model9,0.1875,0.0625,0.4375,0,0.5,specificity,training,HIV/S
ref,0.1875,0.0625,0.375,0,0.4375,specificity,training,HIV/S
model1,0.797975352,0.797975352,0.797975352,0.797975352,0.797975352,auc,training,HIV/S
model2,0.824933979,0.753411092,0.844520246,0.75275088,0.844520246,auc,training,HIV/S
model3,0.852992958,0.769647887,0.878411092,0.747221611,0.881492077,auc,training,HIV/S
model4,0.847821303,0.767935739,0.8806239,0.747881822,0.885893486,auc,training,HIV/S
model5,0.852772887,0.772887324,0.895026408,0.752629842,0.900533671,auc,training,HIV/S
model6,0.847271127,0.766383143,0.893816021,0.744591769,0.900643706,auc,training,HIV/S
model7,0.841659331,0.76484265,0.889646787,0.749884463,0.899103213,auc,training,HIV/S
model8,0.84628081,0.769880062,0.904379401,0.753840229,0.915173856,auc,training,HIV/S
model9,0.850572183,0.773963468,0.912852113,0.757691461,0.92165493,auc,training,HIV/S
ref,0.836927817,0.770466549,0.900760343,0.757922535,0.911317121,auc,training,HIV/S
model1,0.845528455,0.792682927,0.886178862,0.784552846,0.894308943,sensitivity,training,HIV/HCV
model2,0.849593496,0.800813008,0.890243902,0.788617886,0.902439024,sensitivity,training,HIV/HCV
model3,0.853658537,0.804878049,0.894308943,0.792682927,0.902439024,sensitivity,training,HIV/HCV
model4,0.853658537,0.804878049,0.894308943,0.796747967,0.906504065,sensitivity,training,HIV/HCV
model5,0.857723577,0.808943089,0.898373984,0.800813008,0.902439024,sensitivity,training,HIV/HCV
model6,0.857723577,0.808943089,0.898373984,0.800813008,0.902439024,sensitivity,training,HIV/HCV
model7,0.857723577,0.812784553,0.898373984,0.800813008,0.906504065,sensitivity,training,HIV/HCV
