model,Q50,Q5.5,Q94.5,Q2.5,Q97.5,performance,data,outcome
model2,0,0,0.5,0,0.5,specificity,testing,HIV
model3,0,0,0.5,0,0.5,specificity,testing,HIV
model4,0,0,0.5,0,0.5,specificity,testing,HIV
model5,0,0,0.5,0,0.5,specificity,testing,HIV
model6,0,0,0.5,0,0.5,specificity,testing,HIV
model7,0,0,0.5,0,0.5,specificity,testing,HIV
model8,0,0,0.5,0,0.5,specificity,testing,HIV
model9,0,0,0.5,0,0.5,specificity,testing,HIV
ref,0,0,0.5,0,0.5,specificity,testing,HIV
model1,0.693877551,0.693877551,0.693877551,0.693877551,0.693877551,auc,testing,HIV
model2,0.869897959,0.512755102,0.875,0.512755102,0.895408163,auc,testing,HIV
model3,0.869897959,0.553571429,0.910714286,0.49744898,0.915816327,auc,testing,HIV
model4,0.87244898,0.545918367,0.928571429,0.515306122,0.933673469,auc,testing,HIV
model5,0.844387755,0.543367347,0.926020408,0.50255102,0.93622449,auc,testing,HIV
model6,0.87244898,0.571428571,0.948979592,0.505102041,0.959183673,auc,testing,HIV
model7,0.87244898,0.56122449,0.954081633,0.515178571,0.964285714,auc,testing,HIV
model8,0.882653061,0.591556122,0.954081633,0.515306122,0.964285714,auc,testing,HIV
model9,0.887755102,0.602040816,0.954081633,0.530612245,0.964285714,auc,testing,HIV
ref,0.846938776,0.545918367,0.948979592,0.494897959,0.964285714,auc,testing,HIV
model1,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model2,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model3,0.888888889,0.825396825,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model4,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model5,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model6,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model7,0.888888889,0.80952381,0.952380952,0.793650794,0.968253968,sensitivity,testing,cc
model8,0.873015873,0.80952381,0.936507937,0.793650794,0.952380952,sensitivity,testing,cc
model9,0.888888889,0.80952381,0.952380952,0.777777778,0.952380952,sensitivity,testing,cc
ref,0.873015873,0.793650794,0.936507937,0.777777778,0.952380952,sensitivity,testing,cc
model1,0.222222222,0.111111111,0.444444444,0.055555556,0.444444444,specificity,testing,cc
model2,0.222222222,0.055555556,0.388888889,0.055555556,0.444444444,specificity,testing,cc
model3,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model4,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model5,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model6,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model7,0.277777778,0.111111111,0.444444444,0.111111111,0.5,specificity,testing,cc
model8,0.277777778,0.111111111,0.444444444,0.111111111,0.5,specificity,testing,cc
model9,0.277777778,0.111111111,0.5,0.111111111,0.5,specificity,testing,cc
ref,0.277777778,0.111111111,0.5,0.111111111,0.5,specificity,testing,cc
model1,0.75,0.75,0.75,0.75,0.75,auc,testing,cc
model2,0.725308642,0.704144621,0.774691358,0.704144621,0.774691358,auc,testing,cc
model3,0.778218695,0.67680776,0.824955908,0.667107584,0.83377425,auc,testing,cc
model4,0.779100529,0.681216931,0.831128748,0.668871252,0.835537919,auc,testing,cc
model5,0.778659612,0.708946208,0.814814815,0.685185185,0.822773369,auc,testing,cc
model6,0.777777778,0.718694885,0.820987654,0.697530864,0.832451499,auc,testing,cc
model7,0.78968254,0.719135802,0.836419753,0.703218695,0.845260141,auc,testing,cc
model8,0.806878307,0.734567901,0.851851852,0.708090829,0.85978836,auc,testing,cc
model9,0.810405644,0.74069224,0.856309524,0.71957672,0.865079365,auc,testing,cc
ref,0.787477954,0.69664903,0.850088183,0.676366843,0.859810406,auc,testing,cc
